,Year,Region,Round,Seed,Team,Location,OpponentSeed,Opponent,WinningTeam
0,2017,east,1,1,Villanova,"Buffalo, NY",16,Mount St. Mary's,Villanova
1,2017,east,1,8,Wisconsin,"Buffalo, NY",9,Virginia Tech,Wisconsin
2,2017,east,1,5,Virginia,"Orlando, FL",12,North Carolina-Wilmington,Virginia
3,2017,east,1,4,Florida,"Orlando, FL",13,ETSU,Florida
4,2017,east,1,6,SMU,"Tulsa, OK",11,USC,USC
5,2017,east,1,3,Baylor,"Tulsa, OK",14,New Mexico State,Baylor
6,2017,east,1,7,South Carolina,"Greenville, SC",10,Marquette,South Carolina
7,2017,east,1,2,Duke,"Greenville, SC",15,Troy,Duke
8,2017,east,2,1,Villanova,"Buffalo, NY",8,Wisconsin,Wisconsin
9,2017,east,2,5,Virginia,"Orlando, FL",4,Florida,Florida
10,2017,east,2,11,USC,"Tulsa, OK",3,Baylor,Baylor
11,2017,east,2,7,South Carolina,"Greenville, SC",2,Duke,South Carolina
12,2017,east,3,8,Wisconsin,"New York, NY",4,Florida,Florida
13,2017,east,3,3,Baylor,"New York, NY",7,South Carolina,South Carolina
14,2017,east,4,4,Florida,"New York, NY",7,South Carolina,South Carolina
15,2017,midwest,1,1,Kansas,"Tulsa, OK",16,UC-Davis,Kansas
16,2017,midwest,1,8,Miami (FL),"Tulsa, OK",9,Michigan State,Michigan State
17,2017,midwest,1,5,Iowa State,"Milwaukee, WI",12,Nevada,Iowa State
18,2017,midwest,1,4,Purdue,"Milwaukee, WI",13,Vermont,Purdue
19,2017,midwest,1,6,Creighton,"Sacramento, CA",11,Rhode Island,Rhode Island
20,2017,midwest,1,3,Oregon,"Sacramento, CA",14,Iona,Oregon
21,2017,midwest,1,7,Michigan,"Indianapolis, IN",10,Oklahoma State,Michigan
22,2017,midwest,1,2,Louisville,"Indianapolis, IN",15,Jacksonville State,Louisville
23,2017,midwest,2,1,Kansas,"Tulsa, OK",9,Michigan State,Kansas
24,2017,midwest,2,5,Iowa State,"Milwaukee, WI",4,Purdue,Purdue
25,2017,midwest,2,11,Rhode Island,"Sacramento, CA",3,Oregon,Oregon
26,2017,midwest,2,7,Michigan,"Indianapolis, IN",2,Louisville,Michigan
27,2017,midwest,3,1,Kansas,"Kansas City, MO",4,Purdue,Kansas
28,2017,midwest,3,3,Oregon,"Kansas City, MO",7,Michigan,Oregon
29,2017,midwest,4,1,Kansas,"Kansas City, MO",3,Oregon,Oregon
30,2017,south,1,1,UNC,"Greenville, SC",16,Texas Southern,UNC
31,2017,south,1,8,Arkansas,"Greenville, SC",9,Seton Hall,Arkansas
32,2017,south,1,5,Minnesota,"Milwaukee, WI",12,Middle Tennessee,Middle Tennessee
33,2017,south,1,4,Butler,"Milwaukee, WI",13,Winthrop,Butler
34,2017,south,1,6,Cincinnati,"Sacramento, CA",11,Kansas State,Cincinnati
35,2017,south,1,3,UCLA,"Sacramento, CA",14,Kent State,UCLA
36,2017,south,1,7,Dayton,"Indianapolis, IN",10,Wichita State,Wichita State
37,2017,south,1,2,Kentucky,"Indianapolis, IN",15,Northern Kentucky,Kentucky
38,2017,south,2,1,UNC,"Greenville, SC",8,Arkansas,UNC
39,2017,south,2,6,Cincinnati,"Sacramento, CA",3,UCLA,UCLA
40,2017,south,2,10,Wichita State,"Indianapolis, IN",2,Kentucky,Kentucky
41,2017,south,3,1,UNC,"Memphis, TN",4,Butler,UNC
42,2017,south,3,3,UCLA,"Memphis, TN",2,Kentucky,Kentucky
43,2017,south,4,1,UNC,"Memphis, TN",2,Kentucky,UNC
44,2017,west,1,1,Gonzaga,"Salt Lake City, UT",16,South Dakota State,Gonzaga
45,2017,west,1,8,Northwestern,"Salt Lake City, UT",9,Vanderbilt,Northwestern
46,2017,west,1,5,Notre Dame,"Buffalo, NY",12,Princeton,Notre Dame
47,2017,west,1,4,West Virginia,"Buffalo, NY",13,Bucknell,West Virginia
48,2017,west,1,6,Maryland,"Orlando, FL",11,Xavier,Xavier
49,2017,west,1,3,Florida State,"Orlando, FL",14,Florida Gulf Coast,Florida State
50,2017,west,1,7,Saint Mary's (CA),"Salt Lake City, UT",10,VCU,Saint Mary's (CA)
51,2017,west,1,2,Arizona,"Salt Lake City, UT",15,North Dakota,Arizona
52,2017,west,2,1,Gonzaga,"Salt Lake City, UT",8,Northwestern,Gonzaga
53,2017,west,2,5,Notre Dame,"Buffalo, NY",4,West Virginia,West Virginia
54,2017,west,2,11,Xavier,"Orlando, FL",3,Florida State,Xavier
55,2017,west,2,7,Saint Mary's (CA),"Salt Lake City, UT",2,Arizona,Arizona
56,2017,west,3,1,Gonzaga,"San Jose, CA",4,West Virginia,Gonzaga
57,2017,west,3,11,Xavier,"San Jose, CA",2,Arizona,Xavier
58,2017,west,4,1,Gonzaga,"San Jose, CA",11,Xavier,Gonzaga
59,2017,final four,5,3,Oregon,"Glendale, AZ",1,UNC,UNC
60,2017,final four,5,7,South Carolina,"Glendale, AZ",1,Gonzaga,Gonzaga
61,2017,final four,6,1,Gonzaga,"Glendale, AZ",1,UNC,UNC
62,2016,east,1,1,UNC,"Raleigh, NC",16,Florida Gulf Coast,UNC
63,2016,east,1,8,USC,"Raleigh, NC",9,Providence,Providence
64,2016,east,1,5,Indiana,"Des Moines, IA",12,Chattanooga,Indiana
65,2016,east,1,4,Kentucky,"Des Moines, IA",13,Stony Brook,Kentucky
66,2016,east,1,6,Notre Dame,"Brooklyn, NY",11,Michigan,Notre Dame
67,2016,east,1,3,West Virginia,"Brooklyn, NY",14,Stephen F. Austin,Stephen F. Austin
68,2016,east,1,7,Wisconsin,"St. Louis, MO",10,Pitt,Wisconsin
69,2016,east,1,2,Xavier,"St. Louis, MO",15,Weber State,Xavier
70,2016,east,2,1,UNC,"Raleigh, NC",9,Providence,UNC
71,2016,east,2,5,Indiana,"Des Moines, IA",4,Kentucky,Indiana
72,2016,east,2,6,Notre Dame,"Brooklyn, NY",14,Stephen F. Austin,Notre Dame
73,2016,east,2,7,Wisconsin,"St. Louis, MO",2,Xavier,Wisconsin
74,2016,east,3,1,UNC,"Philadelphia, PA",5,Indiana,UNC
75,2016,east,3,6,Notre Dame,"Philadelphia, PA",7,Wisconsin,Notre Dame
76,2016,east,4,1,UNC,"Philadelphia, PA",6,Notre Dame,UNC
77,2016,west,1,1,Oregon,"Spokane, WA",16,Holy Cross,Oregon
78,2016,west,1,8,St. Joseph's,"Spokane, WA",9,Cincinnati,St. Joseph's
79,2016,west,1,5,Baylor,"Providence, RI",12,Yale,Yale
80,2016,west,1,4,Duke,"Providence, RI",13,North Carolina-Wilmington,Duke
81,2016,west,1,6,Texas,"Oklahoma City, OK",11,Northern Iowa,Northern Iowa
82,2016,west,1,3,Texas A&M;,"Oklahoma City, OK",14,Green Bay,Texas A&M;
83,2016,west,1,7,Oregon State,"Oklahoma City, OK",10,VCU,VCU
84,2016,west,1,2,Oklahoma,"Oklahoma City, OK",15,Cal State Bakersfield,Oklahoma
85,2016,west,2,1,Oregon,"Spokane, WA",8,St. Joseph's,Oregon
86,2016,west,2,12,Yale,"Providence, RI",4,Duke,Duke
87,2016,west,2,11,Northern Iowa,"Oklahoma City, OK",3,Texas A&M;,Texas A&M;
88,2016,west,2,10,VCU,"Oklahoma City, OK",2,Oklahoma,Oklahoma
89,2016,west,3,1,Oregon,"Anaheim, CA",4,Duke,Oregon
90,2016,west,3,3,Texas A&M;,"Anaheim, CA",2,Oklahoma,Oklahoma
91,2016,west,4,1,Oregon,"Anaheim, CA",2,Oklahoma,Oklahoma
92,2016,south,1,1,Kansas,"Des Moines, IA",16,Austin Peay,Kansas
93,2016,south,1,8,Colorado,"Des Moines, IA",9,UConn,UConn
94,2016,south,1,5,Maryland,"Spokane, WA",12,South Dakota State,Maryland
95,2016,south,1,4,University of California,"Spokane, WA",13,Hawaii,Hawaii
96,2016,south,1,6,Arizona,"Providence, RI",11,Wichita State,Wichita State
97,2016,south,1,3,Miami (FL),"Providence, RI",14,Buffalo,Miami (FL)
98,2016,south,1,7,Iowa,"Brooklyn, NY",10,Temple,Iowa
99,2016,south,1,2,Villanova,"Brooklyn, NY",15,North Carolina-Asheville,Villanova
100,2016,south,2,1,Kansas,"Des Moines, IA",9,UConn,Kansas
101,2016,south,2,5,Maryland,"Spokane, WA",13,Hawaii,Maryland
102,2016,south,2,11,Wichita State,"Providence, RI",3,Miami (FL),Miami (FL)
103,2016,south,2,7,Iowa,"Brooklyn, NY",2,Villanova,Villanova
104,2016,south,3,1,Kansas,"Louisville, KY",5,Maryland,Kansas
105,2016,south,3,3,Miami (FL),"Louisville, KY",2,Villanova,Villanova
106,2016,south,4,1,Kansas,"Louisville, KY",2,Villanova,Villanova
107,2016,midwest,1,1,Virginia,"Raleigh, NC",16,Hampton,Virginia
108,2016,midwest,1,8,Texas Tech,"Raleigh, NC",9,Butler,Butler
109,2016,midwest,1,5,Purdue,"Denver, CO",12,Arkansas-Little Rock,Arkansas-Little Rock
110,2016,midwest,1,4,Iowa State,"Denver, CO",13,Iona,Iowa State
111,2016,midwest,1,6,Seton Hall,"Denver, CO",11,Gonzaga,Gonzaga
112,2016,midwest,1,3,Utah,"Denver, CO",14,Fresno State,Utah
113,2016,midwest,1,7,Dayton,"St. Louis, MO",10,Syracuse,Syracuse
114,2016,midwest,1,2,Michigan State,"St. Louis, MO",15,Middle Tennessee,Middle Tennessee
115,2016,midwest,2,1,Virginia,"Raleigh, NC",9,Butler,Virginia
116,2016,midwest,2,12,Arkansas-Little Rock,"Denver, CO",4,Iowa State,Iowa State
117,2016,midwest,2,11,Gonzaga,"Denver, CO",3,Utah,Gonzaga
118,2016,midwest,2,10,Syracuse,"St. Louis, MO",15,Middle Tennessee,Syracuse
119,2016,midwest,3,1,Virginia,"Chicago, IL",4,Iowa State,Virginia
120,2016,midwest,3,11,Gonzaga,"Chicago, IL",10,Syracuse,Syracuse
121,2016,midwest,4,1,Virginia,"Chicago, IL",10,Syracuse,Syracuse
122,2016,final four,5,2,Villanova,"Houston, TX",2,Oklahoma,Villanova
123,2016,final four,5,10,Syracuse,"Houston, TX",1,UNC,UNC
124,2016,final four,6,2,Villanova,"Houston, TX",1,UNC,Villanova
125,2015,east,1,1,Villanova,"Pittsburgh, PA",16,Lafayette,Villanova
126,2015,east,1,8,North Carolina State,"Pittsburgh, PA",9,LSU,North Carolina State
127,2015,east,1,5,Northern Iowa,"Seattle, WA",12,Wyoming,Northern Iowa
128,2015,east,1,4,Louisville,"Seattle, WA",13,UC-Irvine,Louisville
129,2015,east,1,6,Providence,"Columbus, OH",11,Dayton,Dayton
130,2015,east,1,3,Oklahoma,"Columbus, OH",14,Albany (NY),Oklahoma
131,2015,east,1,7,Michigan State,"Charlotte, NC",10,Georgia,Michigan State
132,2015,east,1,2,Virginia,"Charlotte, NC",15,Belmont,Virginia
133,2015,east,2,1,Villanova,"Pittsburgh, PA",8,North Carolina State,North Carolina State
134,2015,east,2,5,Northern Iowa,"Seattle, WA",4,Louisville,Louisville
135,2015,east,2,11,Dayton,"Columbus, OH",3,Oklahoma,Oklahoma
136,2015,east,2,7,Michigan State,"Charlotte, NC",2,Virginia,Michigan State
137,2015,east,3,8,North Carolina State,"Syracuse, NY",4,Louisville,Louisville
138,2015,east,3,3,Oklahoma,"Syracuse, NY",7,Michigan State,Michigan State
139,2015,east,4,4,Louisville,"Syracuse, NY",7,Michigan State,Michigan State
140,2015,midwest,1,1,Kentucky,"Louisville, KY",16,Hampton,Kentucky
141,2015,midwest,1,8,Cincinnati,"Louisville, KY",9,Purdue,Cincinnati
142,2015,midwest,1,5,West Virginia,"Columbus, OH",12,Buffalo,West Virginia
143,2015,midwest,1,4,Maryland,"Columbus, OH",13,Valparaiso,Maryland
144,2015,midwest,1,6,Butler,"Pittsburgh, PA",11,Texas,Butler
145,2015,midwest,1,3,Notre Dame,"Pittsburgh, PA",14,Northeastern,Notre Dame
146,2015,midwest,1,7,Wichita State,"Omaha, NE",10,Indiana,Wichita State
147,2015,midwest,1,2,Kansas,"Omaha, NE",15,New Mexico State,Kansas
148,2015,midwest,2,1,Kentucky,"Louisville, KY",8,Cincinnati,Kentucky
149,2015,midwest,2,5,West Virginia,"Columbus, OH",4,Maryland,West Virginia
150,2015,midwest,2,6,Butler,"Pittsburgh, PA",3,Notre Dame,Notre Dame
151,2015,midwest,2,7,Wichita State,"Omaha, NE",2,Kansas,Wichita State
152,2015,midwest,3,1,Kentucky,"Cleveland, OH",5,West Virginia,Kentucky
153,2015,midwest,3,3,Notre Dame,"Cleveland, OH",7,Wichita State,Notre Dame
154,2015,midwest,4,1,Kentucky,"Cleveland, OH",3,Notre Dame,Kentucky
155,2015,south,1,1,Duke,"Charlotte, NC",16,Robert Morris,Duke
156,2015,south,1,8,San Diego State,"Charlotte, NC",9,St. John's (NY),San Diego State
157,2015,south,1,5,Utah,"Portland, OR",12,Stephen F. Austin,Utah
158,2015,south,1,4,Georgetown,"Portland, OR",13,Eastern Washington,Georgetown
159,2015,south,1,6,SMU,"Louisville, KY",11,UCLA,UCLA
160,2015,south,1,3,Iowa State,"Louisville, KY",14,Alabama-Birmingham,Alabama-Birmingham
161,2015,south,1,7,Iowa,"Seattle, WA",10,Davidson,Iowa
162,2015,south,1,2,Gonzaga,"Seattle, WA",15,North Dakota State,Gonzaga
163,2015,south,2,1,Duke,"Charlotte, NC",8,San Diego State,Duke
164,2015,south,2,5,Utah,"Portland, OR",4,Georgetown,Utah
165,2015,south,2,11,UCLA,"Louisville, KY",14,Alabama-Birmingham,UCLA
166,2015,south,2,7,Iowa,"Seattle, WA",2,Gonzaga,Gonzaga
167,2015,south,3,1,Duke,"Houston, TX",5,Utah,Duke
168,2015,south,3,11,UCLA,"Houston, TX",2,Gonzaga,Gonzaga
169,2015,south,4,1,Duke,"Houston, TX",2,Gonzaga,Duke
170,2015,west,1,1,Wisconsin,"Omaha, NE",16,Coastal Carolina,Wisconsin
171,2015,west,1,8,Oregon,"Omaha, NE",9,Oklahoma State,Oregon
172,2015,west,1,5,Arkansas,"Jacksonville, FL",12,Wofford,Arkansas
173,2015,west,1,4,UNC,"Jacksonville, FL",13,Harvard,UNC
174,2015,west,1,6,Xavier,"Jacksonville, FL",11,Ole Miss,Xavier
175,2015,west,1,3,Baylor,"Jacksonville, FL",14,Georgia State,Georgia State
