,Team,Appearances,rank
0,Kansas,38,1
1,UNC,38,1
2,Kentucky,37,2
3,Villanova,35,3
4,Duke,35,3
5,Arizona,34,4
6,Syracuse,34,4
7,Notre Dame,33,5
8,Louisville,33,5
9,UCLA,32,6
10,UConn,32,6
11,Temple,31,7
12,Marquette,31,7
13,Texas,31,7
14,Indiana,30,8
15,Oklahoma,28,9
16,West Virginia,27,10
17,Purdue,27,10
18,St. John's (NY),27,10
19,Michigan State,27,10
20,Illinois,27,10
21,Georgetown,26,11
22,Arkansas,26,11
23,Pitt,25,12
24,Princeton,25,12
25,Xavier,25,12
26,Missouri,24,13
27,Oklahoma State,24,13
28,Ohio State,24,13
29,BYU,24,13
30,Maryland,24,13
31,Cincinnati,24,13
32,Western Kentucky,23,14
33,New Mexico State,23,14
34,Michigan,23,14
35,Utah,22,15
36,North Carolina State,22,15
37,Penn,22,15
38,Memphis,22,15
39,Wisconsin,22,15
40,Utah State,20,16
41,Kansas State,20,16
42,Creighton,20,16
43,Florida,19,17
44,Alabama,19,17
45,Gonzaga,19,17
46,UNLV,19,17
47,Iowa State,19,17
48,Iowa,19,17
49,Dayton,18,18
50,Virginia,18,18
51,Wake Forest,18,18
52,Tennessee,18,18
53,Providence,17,19
54,DePaul,17,19
55,Miami (OH),17,19
56,Stanford,17,19
57,UTEP,16,20
58,USC,16,20
59,Boston College,16,20
60,Weber State,16,20
61,Houston,16,20
62,St. Joseph's,16,20
63,LSU,16,20
64,Florida State,15,21
65,Oregon,15,21
66,VCU,15,21
67,Murray State,15,21
68,Butler,15,21
69,University of California,15,21
70,New Mexico,14,22
71,Washington,14,22
72,Georgia Tech,14,22
73,Texas A&M,13,23
74,Wyoming,13,23
75,Texas Tech,13,23
76,Arizona State,13,23
77,Ohio,13,23
78,Holy Cross,13,23
79,Davidson,13,23
80,Tulsa,12,24
81,Pepperdine,12,24
82,Wichita State,12,24
83,Vanderbilt,12,24
84,Alabama-Birmingham,12,24
85,Oregon State,12,24
86,La Salle,12,24
87,Old Dominion,11,25
88,Clemson,11,25
89,George Washington,11,25
90,Georgia,11,25
91,Baylor,11,25
92,Chattanooga,11,25
93,San Diego State,11,25
94,Navy,11,25
95,Minnesota,11,25
96,Iona,11,25
97,Seton Hall,11,25
98,Seattle,10,26
99,Oklahoma City,10,26
100,Montana,10,26
101,Idaho State,10,26
102,ETSU,10,26
103,Charlotte,10,26
104,Southern Illinois,10,26
105,Louisiana-Lafayette,10,26
106,Colorado State,9,27
107,Rhode Island,9,27
108,Virginia Tech,9,27
109,Long Beach State,9,27
110,Mississippi State,9,27
111,Miami (FL),9,27
112,Penn State,9,27
113,Colorado,9,27
114,UMass,9,27
115,Valparaiso,8,28
116,Ole Miss,8,28
117,Robert Morris,8,28
118,Richmond,8,28
119,Northeastern,8,28
120,North Carolina A&T,8,28
121,Auburn,8,28
122,Saint Louis,8,28
123,Eastern Kentucky,8,28
124,Saint Mary's (CA),8,28
125,Winthrop,8,28
126,Bradley,8,28
127,Middle Tennessee,8,28
128,Southern,8,28
129,Morehead State,7,29
130,Nebraska,7,29
131,Northern Iowa,7,29
132,Dartmouth,7,29
133,Belmont,7,29
134,Bucknell,7,29
135,Ball State,7,29
136,Santa Clara,7,29
137,Louisiana-Monroe,7,29
138,South Carolina,7,29
139,Austin Peay,7,29
140,SMU,7,29
141,South Alabama,7,29
142,St. Bonaventure,6,30
143,Boston University,6,30
144,Vermont,6,30
145,San Francisco,6,30
146,Manhattan,6,30
147,George Mason,6,30
148,Washington State,6,30
149,Illinois State,6,30
150,Kent State,6,30
151,Detroit,6,30
152,Furman,6,30
153,Missouri State,6,30
154,Nevada,6,30
155,North Carolina-Wilmington,6,30
156,NYU,6,30
157,Siena,6,30
158,Boise State,5,31
159,Hampton,5,31
160,Hawaii,5,31
161,Delaware,5,31
162,South Carolina State,5,31
163,Alcorn State,5,31
164,Oral Roberts,5,31
165,Fresno State,5,31
166,Louisiana Tech,5,31
167,Duquesne,5,31
168,Harvard,5,31
169,Green Bay,5,31
170,Evansville,5,31
171,Rutgers,5,31
172,Albany (NY),5,31
173,James Madison,5,31
174,UCSB,5,31
175,Loyola (IL),5,31
176,Marshall,5,31
177,Jacksonville,5,31
178,Lamar,5,31
179,Texas Southern,5,31
180,Air Force,4,32
181,Pacific,4,32
182,Canisius,4,32
183,Wofford,4,32
184,LIU-Brooklyn,4,32
